,Id,Username,Text,Date,Hashtags
57,684524208022401024,freeigames,FREE #iPhone Game: Price Drop: Alchemists (Games) http://bit.ly/1kJPScO #Apple #App #Store,2016-01-05 23:57:43+00:00,#iPhone #Apple #App #Store
58,684524163198005248,VeroGreen23,Vegan strudel #vegan #strudel #traditionalfood #mela #apple #apfelstrudel #strudeldimele #dolci… https://www.instagram.com/p/BALRxPSoKza/,2016-01-05 23:57:33+00:00,#vegan #strudel #traditionalfood #mela #apple #apfelstrudel #strudeldimele #dolci
59,684524128385146881,zappledca,Bill did you get Apple iPad Generation 64GB Cellular Unlocked on http://bit.ly/1PLIomL? #apple #BlackFriday,2016-01-05 23:57:24+00:00,#apple #BlackFriday
60,684887088848699392,Rover829,"Meanwhile, #Apple shares dropped below $100 for the first time in ~5 mths on reports of slowing #iPhone shipments. IT sector worries grow.",2016-01-06 23:59:41+00:00,#Apple #iPhone
61,684886931398852610,MixNewsCol,La App Store rompe récord en la temporada de fiestas #Apple http://mixnewscolombia.blogspot.com.co/2016/01/laapp-store-rompe-record-en-la.html#more,2016-01-06 23:59:03+00:00,#Apple
62,684886896279826432,mangogemini,#Apple Suppliers Drop Globally After #IPhone Output Cut Report by #Nikkei http://bloom.bg/1ZNoxpO via @technology $AAPL,2016-01-06 23:58:55+00:00,#Apple #IPhone #Nikkei
63,684886806123302914,infocrowler,New post: #apple #AppleiPhone Just Mobile Hoverdock For iPhone And Apple Watch Announced http://www.infocrowler.com/infocrowler/gadgets/just-mobile-hoverdock-for-iphone-and-apple-watch-announced.html?utm_campaign=twitter&amp;utm_medium=twitter&amp;utm_source=twitter,2016-01-06 23:58:33+00:00,#apple #AppleiPhone
64,684886805720788996,Moneyweb,"#Apple paid CEO Tim Cook $10.3m in 2015, up 11.5% http://bit.ly/1PfUuQq #TimCook",2016-01-06 23:58:33+00:00,#Apple #TimCook
65,684886780152160256,imagazinemag,"Apple CEO Tim Cook earned $10.3M in 2015, Angela Ahrendts highest paid exec http://bit.ly/1OPhaWX #imagazine #apple",2016-01-06 23:58:27+00:00,#imagazine #apple
66,684886759922991105,iPhaseTechs,"Apple CEO Tim Cook earned $10.3M in 2015, Angela Ahrendts highest paid exec: Executive sala... http://bit.ly/1mDcRbr #Apple #MAC",2016-01-06 23:58:22+00:00,#Apple #MAC
67,684886758887047168,iPhaseTechs,"Apple includes shareholder proposal on diversity in proxy statement, advises vote against: ... http://bit.ly/1mDcPQR #Apple #MAC",2016-01-06 23:58:22+00:00,#Apple #MAC
68,684886757767184384,iPhaseTechs,"Samsung, Lenovo, LG & HP show off copies of Apple TV, MacBooks at CES: CES wouldn't be the ... http://bit.ly/1OPh8P2 #Apple #MAC",2016-01-06 23:58:22+00:00,#Apple #MAC
69,684886731930206208,Install_World,#AppleWatch #App – Now You Can Order Domino’s With One Touch Of Your Apple Watch – Domino’s has... http://bit.ly/1Rhx8QL #iwatch #Apple,2016-01-06 23:58:16+00:00,#AppleWatch #App #iwatch #Apple
70,685249440970633216,DOLLAROCRACY,$AAPL fib chart #Stocks #OnWatch #Apple ,2016-01-07 23:59:32+00:00,#Stocks #OnWatch #Apple
71,685249281985482753,MagPyeTweet,Hit Series Book 1 #free to Gr 5 #teachers http://ow.ly/WMjbe #elemchat #ebooks #edchat #lrnchat #apple #kobo,2016-01-07 23:58:54+00:00,#free #teachers #elemchat #ebooks #edchat #lrnchat #apple #kobo
72,685249281373110272,jrichardknapp,Hit Series Book 1 #free to Gr 5 #teachers http://ow.ly/WMiFc #elemchat #ebooks #edchat #lrnchat #apple #kobo,2016-01-07 23:58:54+00:00,#free #teachers #elemchat #ebooks #edchat #lrnchat #apple #kobo
73,685249227065135104,joviannfeed,Harman joins aftermarket CarPlay arena with JBL Legend CP100 http://bit.ly/1VNZRLQ #apple,2016-01-07 23:58:41+00:00,#apple
74,685249215576977409,BelenZMoore,#Apple #News Apple suppliers cut revenue estimates amid iPhone shipment fears,2016-01-07 23:58:38+00:00,#Apple #News
75,685249113097670656,FesAskari_SIC,#CES 2016: #Netflix chief says he will follow #Apple into China - http://www.bbc.co.uk/news/technology-35249033 #goingglobal,2016-01-07 23:58:14+00:00,#CES #Netflix #Apple #goingglobal
76,685249030562037760,LiveloveRnoSpks,Apple Planning to Build Second Data Center in Reno http://goo.gl/G8Mppb #reno #sparks #datacenter #apple #economy #business #development,2016-01-07 23:57:54+00:00,#reno #sparks #datacenter #apple #economy #business #development
77,685248850898989056,Factorapp,"When Factors compete to buy your accounts receivable invoices, You Win! Get http://factorapp.com #apple #android",2016-01-07 23:57:12+00:00,#apple #android
78,685248750852411393,HamonP,Apple's history in 3 minutes http://www.fastcompany.com/3036842/steal-some-of-apples-secret-sauce-in-under-3-minutes via @FastCompany #apple,2016-01-07 23:56:48+00:00,#apple
79,685248711044280320,morisano,#Apple - the future for our #devices. #facialrecognition #IoT #digital #emotion,2016-01-07 23:56:38+00:00,#Apple #devices #facialrecognition #IoT #digital #emotion
80,685611911363211264,_TNews,BMW's motorcycle helmet is the connected future on two wheels: In addition to bringing its highly... http://tinyurl.com/h2zup45 #Tech #Apple,2016-01-08 23:59:52+00:00,#Tech #Apple
81,685611807491244032,TheAppleLoop,Report: Next-generation iPhone design will ditch the 3.5mm headphone jack http://bit.ly/1VRr4gs #apple,2016-01-08 23:59:27+00:00,#apple
82,685611776495464448,domaincrewbeach,http://STATEFREENET.COM For sale https://sedo.com/search/details.php4?domain=statefreenet.com&amp;trackingRequestId=69289696&amp;tracked=0&amp;partnerid=0&amp;language=us&amp;origin=search&amp;fromExactMatch=1 #Apple #Vegas #bigdata #Sweden #Crowdfunding #investor #domains #SiliconValley,2016-01-08 23:59:20+00:00,#Apple #Vegas #bigdata #Sweden #Crowdfunding #investor #domains #SiliconValley
83,685611619276165120,RutLOVtjnst,http://STATEFREENET.COM For sale https://sedo.com/search/details.php4?domain=statefreenet.com&amp;trackingRequestId=69289696&amp;tracked=0&amp;partnerid=0&amp;language=us&amp;origin=search&amp;fromExactMatch=1 #Apple #Vegas #bigdata #Sweden #Crowdfunding #investor #domains #SiliconValley,2016-01-08 23:58:42+00:00,#Apple #Vegas #bigdata #Sweden #Crowdfunding #investor #domains #SiliconValley
84,685611585839083520,BusinessTimes,"#Apple registers automobile domain names, including ""apple.car"" http://bit.ly/1OFjSmi",2016-01-08 23:58:34+00:00,#Apple
85,685611539726995457,bondmoran1,http://STATEFREENET.COM For sale https://sedo.com/search/details.php4?domain=statefreenet.com&amp;trackingRequestId=69289696&amp;tracked=0&amp;partnerid=0&amp;language=us&amp;origin=search&amp;fromExactMatch=1 #Apple #Vegas #bigdata #Sweden #Crowdfunding #investor #domains #SiliconValley,2016-01-08 23:58:23+00:00,#Apple #Vegas #bigdata #Sweden #Crowdfunding #investor #domains #SiliconValley
86,685611411398066176,domankungencom,http://STATEFREENET.COM For sale https://sedo.com/search/details.php4?domain=statefreenet.com&amp;trackingRequestId=69289696&amp;tracked=0&amp;partnerid=0&amp;language=us&amp;origin=search&amp;fromExactMatch=1 #Apple #Vegas #bigdata #Sweden #Crowdfunding #investor #domains #SiliconValley,2016-01-08 23:57:53+00:00,#Apple #Vegas #bigdata #Sweden #Crowdfunding #investor #domains #SiliconValley
87,685611287338958848,paypalmoneyaddr,Get #paypal #money #free #loan #carloan #paypalwish #itunes2015 #apple #android #payments https://bitly.com/getpaypalmoneyadder,2016-01-08 23:57:23+00:00,#paypal #money #free #loan #carloan #paypalwish #itunes2015 #apple #android #payments
88,685611218913103872,thepiggame,http://appcarplay.com For sale https://sedo.com/search/details.php4?domain=appcarplay.com&amp;trackingRequestId=61056496&amp;language=e&amp;origin=search&amp;fromExactMatch=1 #Apple #app #Startup #car #investor #domains #Volvo #appcarplay #Berlin #London,2016-01-08 23:57:07+00:00,#Apple #app #Startup #car #investor #domains #Volvo #appcarplay #Berlin #London
89,685611208305717249,paypalmoneyaddr,#paypal #apple #marketing #facebook #youtube #clashofclans #money #gift #newyear get it he… https://bitly.com/getpaypalmoneyadder,2016-01-08 23:57:04+00:00,#paypal #apple #marketing #facebook #youtube #clashofclans #money #gift #newyear
90,685974328660234240,Luv4uKimmy,953 Join: http://tinyurl.com/jointoseemenaked hi #ass #Asshole #Anal #app #Apps #Android #Adult #Adults #Apple #Animal #About,2016-01-09 23:59:59+00:00,#ass #Asshole #Anal #app #Apps #Android #Adult #Adults #Apple #Animal #About
91,685974222951321602,realTJDriscoll,Why would you want to resist Capitalism??? It gave you #Apple #Applebees #Rockstar @drpepper etc. #ResistCapitalism,2016-01-09 23:59:34+00:00,#Apple #Applebees #Rockstar #ResistCapitalism
92,685974065941721090,EvelynSmithh,RT HiferhcodedM: RT psswstyles: #AppleWatch #Apple *NIB* Apple Watch 38mm Silver Case with White Sport Band http://ebay.to/1RBDmJs #Smart…,2016-01-09 23:58:56+00:00,#AppleWatch #Apple #Smart
93,685974064851218432,EvelynSmithh,RT psswstyles: #AppleWatch #Apple *NIB* Apple Watch 38mm Silver Case with White Sport Band http://ebay.to/1RBDmJs #SmartWatches,2016-01-09 23:58:56+00:00,#AppleWatch #Apple #SmartWatches
94,685974058446422017,brents47,Fitbit is officially scared of #Apple http://flip.it/aQOEB,2016-01-09 23:58:54+00:00,#Apple
95,685974002473517056,N_A_N_L,F1S iPad mini/mini2/mini3 対応 Bluetooth 3.0 ノートパソコン スタイル キーボード ケース http://mtlnk.net/j_%253A%252F%252Famzn.to%252F1MInnUE #iPad #Apple iPad mi,2016-01-09 23:58:41+00:00,#iPad #Apple
96,685973752547553280,michelleRPO,#Apple just bought an emotion-detecting AI startup http://www.cityam.com/231939/apple-just-bought-emotion-detecting-startup-emotient-as-rivals-facebook-and-google-continue-silicon-valleys-push-into-artificial-intelligence via CityAM #ArtificialIntelligence,2016-01-09 23:57:42+00:00,#Apple #ArtificialIntelligence
97,685973658439958529,aifadestriani,Homemade Apple Pie #applepie #homemadeapplepie #apple #pie #sweetpie #salted #jualapplepie… https://www.instagram.com/p/BAVmkTLzMOn/,2016-01-09 23:57:19+00:00,#applepie #homemadeapplepie #apple #pie #sweetpie #salted #jualapplepie
